year,scene_id,timestamp
2019,20190919T024551_20190919T025704_T49MDP,1568862572849
2019,20190921T023549_20190921T025803_T49MDP,1569034777355
2019,20190924T024549_20190924T030840_T49MDP,1569294572847
2019,20190926T023551_20190926T025807_T49MDP,1569466778979
2019,20191004T024549_20191004T030641_T49MDP,1570158573849
2019,20191006T023551_20191006T025154_T49MDP,1570330779813
2019,20191009T024621_20191009T030737_T49MDP,1570590575675
2019,20191021T023729_20191021T025654_T49MDP,1571626779188
2019,20191031T023829_20191031T025517_T49MDP,1572490778686
2019,20191105T023901_20191105T025713_T49MDP,1572922780930
2019,20191110T023929_20191110T025910_T49MDP,1573354777501
2019,20191115T023951_20191115T025622_T49MDP,1573786779939
2019,20191118T025011_20191118T030042_T49MDP,1574046574574
2019,20191125T024031_20191125T025355_T49MDP,1574650778262
2020,20200119T024019_20200119T025741_T49MDP,1579402771791
2020,20200122T025019_20200122T030829_T49MDP,1579662566531
2020,20200312T024549_20200312T030853_T49MDP,1583982571074
2020,20200322T024549_20200322T030126_T49MDP,1584846567853
2020,20200521T024549_20200521T030558_T49MDP,1590030573381
2020,20200612T023601_20200612T025813_T49MDP,1591930784272
2020,20200630T024549_20200630T030926_T49MDP,1593486576736
2020,20200705T024551_20200705T030848_T49MDP,1593918577715
2020,20200717T023549_20200717T025309_T49MDP,1594954779246
2020,20200720T024549_20200720T030400_T49MDP,1595214574767
2020,20200722T023551_20200722T025700_T49MDP,1595386783321
2020,20200725T024551_20200725T030542_T49MDP,1595646578625
2020,20200727T023549_20200727T025129_T49MDP,1595818780446
2020,20200730T024549_20200730T030622_T49MDP,1596078575817
2020,20200801T023551_20200801T025925_T49MDP,1596250783865
2020,20200814T024551_20200814T030430_T49MDP,1597374579025
2020,20200816T023549_20200816T025908_T49MDP,1597546781548
2020,20200819T024549_20200819T025942_T49MDP,1597806576681
2020,20200821T023551_20200821T025827_T49MDP,1597978783701
2020,20200824T024551_20200824T025955_T49MDP,1598238578603
2020,20200826T023549_20200826T024916_T49MDP,1598410781456
2020,20200829T024549_20200829T030746_T49MDP,1598670576444
2020,20200831T023551_20200831T025319_T49MDP,1598842782958
2020,20200910T023551_20200910T025814_T49MDP,1599706781769
2020,20200915T023549_20200915T025906_T49MDP,1600138779940
2020,20200918T024549_20200918T025940_T49MDP,1600398574821
2020,20200920T023551_20200920T025906_T49MDP,1600570782890
2020,20201107T024919_20201107T030917_T49MDP,1604718575006
2020,20201112T024951_20201112T030320_T49MDP,1605150576992
2021,20210227T023641_20210227T024948_T49MDP,1614394777864
2021,20210403T023549_20210403T025913_T49MDP,1617418775951
2021,20210413T023549_20210413T025829_T49MDP,1618282774329
2021,20210416T024539_20210416T025927_T49MDP,1618542568831
2021,20210421T024541_20210421T025916_T49MDP,1618974568453
2021,20210423T023539_20210423T025728_T49MDP,1619146772236
2021,20210426T024539_20210426T030731_T49MDP,1619406568067
2021,20210511T024551_20210511T025920_T49MDP,1620702572471
2021,20210516T024549_20210516T025931_T49MDP,1621134572355
2021,20210521T024551_20210521T025921_T49MDP,1621566573521
2021,20210605T024549_20210605T030737_T49MDP,1622862574106
2021,20210607T023551_20210607T025518_T49MDP,1623034778789
