aoi,year,season,n_scene,threshold
Titik_04,2023,S3,18,-0.08627017989751845
Titik_04,2024,S2,19,-0.08627017989751845
Titik_04,2024,S3,12,-0.08627017989751845
Titik_04,2025,S2,17,-0.08627017989751845
Titik_04,2025,S3,5,-0.08627017989751845
Titik_05,2019,S2,28,0.03455194258885081
Titik_05,2019,S3,21,0.03455194258885081
Titik_05,2020,S1,5,0.03455194258885081
Titik_05,2020,S2,18,0.03455194258885081
Titik_05,2020,S3,6,0.03455194258885081
Titik_05,2021,S1,7,0.03455194258885081
Titik_05,2021,S2,17,0.03455194258885081
Titik_05,2021,S3,8,0.03455194258885081
Titik_05,2022,S2,9,0.03455194258885081
Titik_05,2023,S2,26,0.03455194258885081
Titik_05,2023,S3,18,0.03455194258885081
Titik_05,2024,S2,19,0.03455194258885081
Titik_05,2024,S3,12,0.03455194258885081
Titik_05,2025,S2,18,0.03455194258885081
Titik_05,2025,S3,5,0.03455194258885081
Titik_06,2019,S2,28,-0.044944837691080264
Titik_06,2019,S3,22,-0.044944837691080264
Titik_06,2020,S2,18,-0.044944837691080264
Titik_06,2020,S3,6,-0.044944837691080264
Titik_06,2021,S1,7,-0.044944837691080264
Titik_06,2021,S2,17,-0.044944837691080264
Titik_06,2021,S3,8,-0.044944837691080264
Titik_06,2022,S2,9,-0.044944837691080264
Titik_06,2023,S2,26,-0.044944837691080264
Titik_06,2023,S3,18,-0.044944837691080264
Titik_06,2024,S2,19,-0.044944837691080264
Titik_06,2024,S3,12,-0.044944837691080264
Titik_06,2025,S2,17,-0.044944837691080264
Titik_06,2025,S3,5,-0.044944837691080264
Titik_09,2019,S2,28,0.0956252733635348
Titik_09,2019,S3,21,0.0956252733635348
Titik_09,2020,S2,18,0.0956252733635348
Titik_09,2020,S3,6,0.0956252733635348
Titik_09,2021,S1,7,0.0956252733635348
Titik_09,2021,S2,17,0.0956252733635348
Titik_09,2021,S3,8,0.0956252733635348
Titik_09,2022,S2,9,0.0956252733635348
Titik_09,2023,S2,26,0.0956252733635348
Titik_09,2023,S3,18,0.0956252733635348
Titik_09,2024,S2,19,0.0956252733635348
Titik_09,2024,S3,12,0.0956252733635348
Titik_09,2025,S2,18,0.0956252733635348
Titik_09,2025,S3,5,0.0956252733635348
Titik_10,2019,S2,28,-0.015005752693494441
Titik_10,2019,S3,21,-0.015005752693494441
Titik_10,2020,S1,5,-0.015005752693494441
Titik_10,2020,S2,18,-0.015005752693494441
Titik_10,2020,S3,6,-0.015005752693494441
Titik_10,2021,S1,7,-0.015005752693494441
Titik_10,2021,S2,17,-0.015005752693494441
Titik_10,2021,S3,8,-0.015005752693494441
Titik_10,2022,S2,9,-0.015005752693494441
Titik_10,2023,S2,26,-0.015005752693494441
Titik_10,2023,S3,18,-0.015005752693494441
Titik_10,2024,S2,19,-0.015005752693494441
Titik_10,2024,S3,12,-0.015005752693494441
Titik_10,2025,S2,18,-0.015005752693494441
Titik_10,2025,S3,5,-0.015005752693494441
Titik_11,2019,S2,28,0.09461863658257894
Titik_11,2019,S3,21,0.09461863658257894
Titik_11,2020,S1,5,0.09461863658257894
Titik_11,2020,S2,18,0.09461863658257894
Titik_11,2020,S3,6,0.09461863658257894
Titik_11,2021,S1,7,0.09461863658257894
Titik_11,2021,S2,17,0.09461863658257894
Titik_11,2021,S3,8,0.09461863658257894
Titik_11,2022,S2,9,0.09461863658257894
Titik_11,2023,S2,26,0.09461863658257894
Titik_11,2023,S3,18,0.09461863658257894
Titik_11,2024,S2,19,0.09461863658257894
Titik_11,2024,S3,12,0.09461863658257894
Titik_11,2025,S2,18,0.09461863658257894
Titik_11,2025,S3,5,0.09461863658257894
